id,made,stop,link
0,true,4.5,https://www.nba.com/stats/events?CFID=&CFPARAMS=&flag=1&GameID=0021600463&GameEventID=540&Season=2016-17&sct=plot
1,true,10,https://www.nba.com/stats/events?CFID=&CFPARAMS=&flag=1&GameID=0022100530&GameEventID=713&Season=2021-22&sct=plot
2,false,4.5,https://www.nba.com/stats/events?CFID=&CFPARAMS=&flag=1&GameID=0021601104&GameEventID=561&Season=2016-17&sct=plot
