pid,bbrid,name,fta_clutch,ft_pct_clutch,total_clutch_shots,ft_pct_all,gp_all,pct_clutch_adjusted,swg_made_per_game
100003,leslili01w,Lisa Leslie,46,78.26086956521739,112,69.6969696969697,415,-3.49,0.0271638554216867
100008,dixonta01w,Tamecka Dixon,9,88.88888888888889,59,81.44895718990121,406,7.17,0.0177362068965517
100012,mabikmw01w,Mwadi Mabika,20,85.0,67,79.6234772978959,378,-8.64,0.0169441798941798
100016,boltoru01w,Ruthie Bolton,9,55.55555555555556,37,75.68134171907757,238,-14.97,0.007613025210084
100030,gilloje01w,Jennifer Gillom,13,76.92307692307693,54,75.87768969422424,231,4.94,0.0279255411255411
100046,palmewe01w,Wendy Palmer,8,37.5,30,70.5521472392638,326,-13.0,0.0059585889570552
100059,stinsan01w,Andrea Stinson,3,100.0,47,74.28571428571429,291,-4.07,0.0117333333333333
100072,swoopsh01w,Sheryl Swoopes,16,93.75,78,82.87250384024577,359,6.32,0.0259994428969359
100073,coopecy01w,Cynthia Cooper,13,92.3076923076923,50,86.73765730880929,143,6.97,0.0396342657342657
100075,arcaija01w,Janeth Arcain,9,100.0,39,86.55692729766804,286,22.0,0.0222430069930069
100076,thompti01w,Tina Thompson,15,80.0,77,83.2381940840685,543,-2.38,0.0161445672191528
100092,jonesme01w,Merlakia Jones,12,83.33333333333334,37,75.67567567567568,269,1.07,0.0141397769516728
100101,weathte01w,Teresa Weatherspoon,7,28.57142857142857,31,66.53696498054474,285,6.07,0.0134880701754385
100103,johnsvi01w,Vickie Johnson,13,100.0,58,81.61764705882352,463,2.37,0.0139246220302375
100105,witheso01w,Sophia Witherspoon,10,80.0,35,79.96820349761526,226,-4.24,0.0147995575221238
100234,penicti01w,Ticha Penicheiro,14,64.28571428571429,58,73.18352059925094,497,-10.91,0.0087106639839034
100236,smithta01w,Tangela Smith,9,66.66666666666666,59,77.43229689067202,515,-3.37,0.0095460194174757
100247,brondsa01w,Sandy Brondello,15,66.66666666666666,39,85.37234042553192,159,16.27,0.0324125786163522
100342,hammobe01w,Becky Hammon,29,86.20689655172413,102,89.59891230455472,510,6.06,0.0243103921568627
100345,robincr01w,Crystal Robinson,3,100.0,40,85.71428571428571,281,5.27,0.0177345195729537
100347,whitmta01w,Tamika Whitmore,13,92.3076923076923,45,73.47670250896059,393,-3.0,0.0104335877862595
100356,holdsch01w,Chamique Holdsclaw,13,84.61538461538461,59,79.19254658385093,292,-2.17,0.0229934931506849
100363,goodsad01w,Adrienne Goodson,10,60.0,35,74.06451612903226,228,-10.96,0.0135438596491228
100384,cantydo01w,Dominique Canty,23,78.26086956521739,57,69.76917349218168,391,-9.85,0.0148158567774936
100396,miltode01w,DeLisha Milton-Jones,18,66.66666666666666,60,78.59025032938077,549,1.17,0.0116808743169398
100404,smithka01w,Katie Smith,42,88.09523809523809,97,85.3496115427303,525,3.67,0.0221171428571428
100410,johnssh01w,Shannon Johnson,27,81.48148148148148,71,76.2217359591539,373,-10.43,0.0177042895442359
100412,mcwilta01w,Taj McWilliams-Franklin,16,75.0,73,74.26470588235294,504,8.38,0.0224797619047619
100415,salesny01w,Nykesha Sales,8,87.5,53,77.5599128540305,309,13.28,0.0226702265372168
100416,samsh01w,Sheri Sam,22,86.36363636363636,60,69.73995271867612,354,-8.16,0.0148723163841807
100419,griffyo01w,Yolanda Griffith,17,82.35294117647058,40,72.17125382262996,353,-0.69,0.0132107648725212
100433,melvich01w,Chasity Melvin,8,50.0,45,68.12373907195696,414,-3.52,0.0112451690821256
100484,lennobe01w,Betty Lennox,8,100.0,50,84.16763678696158,345,10.96,0.0201402898550724
100493,deforan01w,Anna DeForge,7,71.42857142857143,36,82.88100208768267,245,-1.69,0.0115783673469387
100533,walkede01w,DeMya Walker,10,90.0,36,63.35195530726258,367,-6.41,0.0108193460490463
100627,milleke01w,Kelly Miller,3,100.0,24,81.4748201438849,387,9.91,0.0117403100775193
100628,suttota01w,Tammy Sutton-Brown,8,62.5,38,69.97518610421837,435,-13.21,0.0075880459770114
100634,taylope01w,Penny Taylor,23,86.95652173913044,60,87.11656441717791,405,-6.46,0.0161538271604938
100639,nolande01w,Deanna Nolan,21,95.23809523809524,107,82.54288597376387,341,4.56,0.0391281524926686
100646,catchta01w,Tamika Catchings,46,86.95652173913044,165,84.19550481626828,525,5.37,0.0410893333333333
100656,rileyru01w,Ruth Riley,20,90.0,49,77.55417956656346,439,-13.67,0.0119874715261959
100666,douglka01w,Katie Douglas,23,73.91304347826086,99,80.44096728307255,468,-5.55,0.0176760683760683
100682,jacksla01w,Lauren Jackson,19,89.47368421052632,66,84.14701042238069,348,-7.62,0.0204094827586206
100685,ferdima01w,Marie Ferdinand-Harris,16,81.25,50,79.58607714016934,331,-7.62,0.0131498489425981
100720,birdsu01w,Sue Bird,14,50.0,112,85.25932666060055,640,-3.37,0.0166978125
100721,cashsw01w,Swin Cash,21,76.19047619047619,62,75.72481572481571,535,-0.95,0.0117095327102803
100723,jonesas01w,Asjha Jones,7,85.71428571428571,59,74.44314185228606,411,0.75,0.0132520681265206
100729,snowmi01w,Michelle Snow,18,83.33333333333334,58,70.65317387304508,422,0.26,0.0168367298578199
100812,desouer01w,Erika de Souza,7,57.14285714285714,30,64.11042944785275,367,-10.16,0.0065403269754768
100843,fordch01w,Cheryl Ford,16,68.75,40,60.73394495412844,234,-6.8,0.0174653846153846
100874,lawsoka01w,Kara Lawson,13,92.3076923076923,75,89.05608755129958,424,0.38,0.0183066037735849
100888,pierspl01w,Plenette Pierson,12,83.33333333333334,40,74.03237156931738,493,-5.81,0.0070379310344827
100915,whaleli01w,Lindsay Whalen,46,82.6086956521739,124,80.78985860555827,562,-0.42,0.0255959074733096
100919,powelni01w,Nicole Powell,3,100.0,40,88.68940754039497,393,12.8,0.0130921119592875
100937,chrissh01w,Shameka Christon,12,75.0,38,81.8734793187348,338,4.9,0.0122378698224852
100940,tauradi01w,Diana Taurasi,49,85.71428571428571,169,87.19195849546044,597,-6.43,0.0263939698492462
100949,beardal01w,Alana Beard,13,69.23076923076923,65,76.57580919931857,462,2.5,0.0145017316017316
100952,perkiji01w,Jia Perkins,16,75.0,80,83.33333333333334,440,10.39,0.025450909090909
101019,mccarja01w,Janel McCarville,10,80.0,43,76.00671140939598,313,-1.85,0.0183507987220447
101020,whiteta01w,Tan White,10,100.0,36,80.8300395256917,346,-5.82,0.0129632947976878
101023,lyttlsa01w,Sancho Lyttle,12,58.333333333333336,38,70.85852478839178,423,4.01,0.0089007092198581
101024,johnste01w,Temeka Johnson,6,83.33333333333334,29,81.91126279863481,363,-15.63,0.0072137741046831
101030,wrighta01w,Tanisha Wright,9,100.0,53,82.83433133732535,493,-3.09,0.0116602434077079
1627668,stewabr01w,Breanna Stewart,20,95.0,55,83.65384615384616,235,-3.21,0.0259710638297872
1627675,willico01w,Courtney Williams,7,71.42857142857143,39,72.78481012658227,261,-0.52,0.0161842911877394
1628932,wilsoa01w,A'ja Wilson,12,100.0,39,80.44649730561972,207,-10.13,0.022715458937198
1629477,ionessa01w,Sabrina Ionescu,7,100.0,27,91.20521172638436,101,-9.6,0.0287970297029703
1629481,ogunbar01w,Arike Ogunbowale,7,71.42857142857143,37,83.8192419825073,149,0.87,0.0299322147651006
200665,pondeca01w,Cappie Pondexter,28,89.28571428571429,150,84.76090383604834,454,4.94,0.0393667400881057
200671,augusse01w,Seimone Augustus,11,90.9090909090909,104,84.8512173128945,449,8.37,0.0269701559020044
200673,currimo01w,Monique Currie,16,75.0,49,81.92546583850931,434,-0.69,0.012234331797235
200674,youngso01w,Sophia Young-Malcolm,19,68.42105263157895,47,71.91919191919192,327,-1.8,0.0194522935779816
200676,dupreca01w,Candice Dupree,13,84.61538461538461,85,82.31748158070998,525,7.89,0.0185939047619047
201046,hardili01w,Lindsey Harding,18,61.11111111111112,51,75.29976019184652,295,-8.34,0.0145399999999999
201056,lattaiv01w,Ivory Latta,12,100.0,51,84.51443569553805,346,-7.35,0.0121014450867052
201067,littlca01w,Camille Little,18,77.77777777777779,52,71.89873417721519,468,0.99,0.0122929487179487
201477,youngta01w,Tamera Young,6,50.0,29,67.97468354430379,396,4.16,0.007220202020202
201480,fowlesy01w,Sylvia Fowles,22,68.18181818181817,58,72.68656716417911,449,14.32,0.0185122494432071
201492,ajavoma01w,Matee Ajavon,13,69.23076923076923,37,78.27130852340936,334,-4.58,0.0119655688622754
201496,parkeca01w,Candace Parker,34,76.47058823529412,102,76.85325264750378,476,-8.65,0.0208523109243697
201502,carsoes01w,Essence Carson,5,20.0,29,78.48605577689243,414,10.26,0.0074816425120772
201507,mitchle01w,Leilani Mitchell,1,0.0,23,84.14376321353065,432,-10.06,0.0050090277777777
201516,quiglal01w,Allie Quigley,8,75.0,51,89.55223880597015,388,4.08,0.0134943298969072
201518,langhcr01w,Crystal Langhorne,8,100.0,29,70.147954743255,426,10.0,0.0089171361502347
201881,mccouan01w,Angel McCoughtry,33,81.81818181818183,126,80.18475750577367,352,-3.86,0.0360883522727272
201886,bonnede01w,DeWanna Bonner,30,76.66666666666667,95,86.21621621621621,525,-1.99,0.02048
201896,januabr01w,Briann January,17,70.58823529411765,71,84.66257668711657,461,-11.73,0.0113783080260303
201904,montgre01w,Renee Montgomery,9,77.77777777777779,49,84.06139315230224,401,-1.11,0.0130900249376558
201911,tolivkr01w,Kristi Toliver,12,75.0,68,87.78625954198473,423,9.27,0.0199711583924349
201919,zellosh01w,Shavonte Zellous,9,55.55555555555556,35,80.17241379310344,410,2.31,0.0102631707317073
202250,charlti01w,Tina Charles,21,80.95238095238095,90,76.98846387370978,412,2.87,0.027985922330097
202259,princep01w,Epiphanny Prince,18,77.77777777777779,64,86.3169897377423,349,0.76,0.0193962750716332
202632,moorema01w,Maya Moore,17,94.11764705882352,68,85.69206842923795,327,5.95,0.0261577981651376
202633,cambael01w,Liz Cambage,6,33.33333333333333,29,76.23655913978494,178,-3.87,0.0135421348314606
202658,robinda01w,Danielle Robinson,8,87.5,36,86.0969387755102,371,-1.62,0.0109269541778975
202662,thomaja01w,Jasmine Thomas,2,50.0,45,78.74818049490538,413,3.14,0.0133089588377723
202664,vandeco01w,Courtney Vandersloot,12,83.33333333333334,54,82.87037037037037,428,-2.82,0.0163268691588785
203014,ogwumnn01w,Nneka Ogwumike,9,100.0,53,83.24324324324324,384,11.22,0.020946875
203017,johnsgl01w,Glory Johnson,14,85.71428571428571,35,72.82229965156795,224,-9.62,0.0160040178571428
203026,hayesti01w,Tiffany Hayes,14,78.57142857142857,48,79.72413793103448,327,0.03,0.0172761467889908
203029,williri01w,Riquna Williams,4,100.0,24,74.17721518987341,189,6.29,0.0146703703703703
203398,grinebr01w,Brittney Griner,3,66.66666666666666,36,80.46666666666667,323,6.59,0.0143030959752321
203399,delleel01w,Elena Delle Donne,8,87.5,52,93.97865853658536,271,6.17,0.0264778597785977
203400,diggisk01w,Skylar Diggins-Smith,20,60.0,73,84.70926058865757,267,-10.06,0.0225580524344569
203406,clarela01w,Layshia Clarendon,4,100.0,24,79.20792079207921,277,-6.88,0.0092407942238267
203411,rodgesu01w,Sugar Rodgers,5,80.0,25,81.53846153846153,273,-14.6,0.0059981684981684
203416,meessem01w,Emma Meesseman,6,100.0,33,84.70588235294117,269,3.94,0.014607063197026
203824,simsod01w,Odyssey Sims,7,85.71428571428571,44,82.74285714285713,288,2.19,0.0163576388888888
203825,mcbrika01w,Kayla McBride,12,100.0,45,89.69072164948454,302,-5.08,0.017696357615894
203826,thomaal01w,Alyssa Thomas,19,63.1578947368421,45,64.99227202472953,303,-4.24,0.0158475247524752
203828,dolsost01w,Stefanie Dolson,3,66.66666666666666,27,86.83602771362587,305,18.98,0.0176498360655737
203829,hartlbr01w,Bria Hartley,1,0.0,21,77.2609819121447,221,-1.04,0.0093493212669683
203833,graych01w,Chelsea Gray,9,88.88888888888889,37,86.60844250363901,327,22.85,0.0217795107033639
204319,loydje01w,Jewell Loyd,16,50.0,59,88.35672997522708,305,6.79,0.0261629508196721
204365,wheeler01w,Erica Wheeler,5,60.0,32,81.75355450236967,253,4.18,0.0150217391304347
