id,made,pause,stop
0,true,3.9,9.5
1,true,8.5,13
2,true,6.5,11.5
3,true,6.4,12
4,true,10.2,16.7
5,true,4.2,9.2
6,true,7.7,
7,true,9.8,18
8,true,5.6,
9,false,4.1,7.8
10,false,2.7,6.6
11,false,5.6,9.5
12,false,6.5,11
13,false,5.2,8.9
14,false,7.2,12.6
15,false,5.1,9.3
16,false,4.9,10.2
17,false,5.1,9.4
