pid,name,bbrid,make_percentage_far,make_percentage_free throw,make_percentage_medium,make_percentage_near,total_shots_far,total_shots,total_shots_free throw,total_shots_medium,total_shots_near,diff_far,diff_medium,diff_near,pct_adjusted,gp_reg,gp_playoffs,gp_all,ftm_reg,fta_reg,ftm_playoffs,fta_playoffs,ft_pct_all
100076,Tina Thompson,thompti01w,0.0,80.0,30.76923076923077,63.1578947368421,17,62,15,26,19,-23.580313683071928,1.4242242841464616,11.38451841256758,-2.38,496,47,543,1480,1779,124.0,148.0,0.832381940840685
100092,Merlakia Jones,jonesme01w,33.33333333333333,83.33333333333334,33.33333333333333,42.85714285714285,3,25,12,15,7,9.7530196502614,3.98832684824902,-8.916233467131669,1.07,251,18,269,372,494,20.0,24.0,0.7567567567567568
100101,Teresa Weatherspoon,weathte01w,22.22222222222222,28.57142857142857,16.666666666666664,77.77777777777779,9,24,7,6,9,-1.3580914608497068,-12.678339818417644,26.004401453503263,6.07,254,31,285,310,471,32.0,43.0,0.6653696498054474
100103,Vickie Johnson,johnsvi01w,18.181818181818183,100.0,36.84210526315789,53.333333333333336,11,45,13,19,15,-5.398495501253745,7.497098778073582,1.559957009058813,2.37,410,53,463,696,848,81.0,104.0,0.8161764705882353
100105,Sophia Witherspoon,witheso01w,22.22222222222222,80.0,16.666666666666664,50.0,9,25,10,6,10,-1.3580914608497068,-12.678339818417644,-1.7733763242745226,-4.24,207,19,226,489,610,14.0,19.0,0.7996820349761526
100234,Ticha Penicheiro,penicti01w,12.5,64.28571428571429,36.36363636363637,29.411764705882355,16,44,14,11,17,-11.080313683071928,7.018629878552058,-22.361611618392168,-10.91,454,43,497,915,1252,62.0,83.0,0.7318352059925094
100236,Tangela Smith,smithta01w,25.0,66.66666666666666,25.0,50.0,4,50,9,36,10,1.4196863169280718,-4.345006485084308,-1.7733763242745226,-3.37,463,52,515,695,894,77.0,103.0,0.7743229689067201
100247,Sandy Brondello,brondsa01w,100.0,66.66666666666666,40.0,0.0,3,24,15,20,1,76.41968631692808,10.654993514915692,-51.77337632427452,16.27,155,4,159,316,370,5.0,6.0,0.8537234042553191
100342,Becky Hammon,hammobe01w,33.33333333333333,86.20689655172413,40.0,47.61904761904761,27,73,29,25,21,9.7530196502614,10.654993514915692,-4.154328705226909,6.06,450,60,510,1182,1318,136.0,153.0,0.8959891230455472
100345,Crystal Robinson,robincr01w,35.0,100.0,27.27272727272727,50.0,20,37,3,11,6,11.419686316928072,-2.0722792123570386,-1.7733763242745226,5.27,245,36,281,306,360,30.0,32.0,0.8571428571428571
100347,Tamika Whitmore,whitmta01w,0.0,92.3076923076923,46.15384615384615,38.46153846153847,6,32,13,13,13,-23.580313683071928,16.808839668761845,-13.311837862736056,-3.0,350,43,393,731,986,89.0,130.0,0.7347670250896058
100356,Chamique Holdsclaw,holdsch01w,11.11111111111111,84.61538461538461,25.0,66.66666666666666,9,46,13,28,9,-12.469202571960816,-4.345006485084308,14.893290342392136,-2.17,279,13,292,991,1248,29.0,40.0,0.7919254658385093
100363,Adrienne Goodson,goodsad01w,0.0,60.0,25.0,41.66666666666667,5,25,10,8,12,-23.580313683071928,-4.345006485084308,-10.106709657607851,-10.96,221,7,228,557,749,17.0,26.0,0.7406451612903225
100384,Dominique Canty,cantydo01w,0.0,78.26086956521739,33.33333333333333,35.0,2,34,23,12,20,-23.580313683071928,3.98832684824902,-16.773376324274523,-9.85,380,11,391,910,1307,27.0,36.0,0.6976917349218168
100396,DeLisha Milton-Jones,miltode01w,14.285714285714285,66.66666666666666,26.31578947368421,62.5,7,42,18,19,16,-9.294599397357644,-3.0292170114001,10.726623675725476,1.17,499,50,549,1093,1383,100.0,135.0,0.7859025032938076
100404,Katie Smith,smithka01w,26.666666666666668,88.09523809523809,33.33333333333333,57.14285714285714,30,55,42,18,7,3.08635298359474,3.98832684824902,5.369480818582616,3.67,482,43,525,1440,1677,98.0,125.0,0.853496115427303
100410,Shannon Johnson,johnssh01w,12.5,81.48148148148148,13.636363636363637,50.0,8,44,27,22,14,-11.080313683071928,-15.708642848720674,-1.7733763242745226,-10.43,352,21,373,1017,1332,28.0,39.0,0.762217359591539
100412,Taj McWilliams-Franklin,mcwilta01w,25.0,75.0,30.434782608695656,66.66666666666666,4,57,16,23,30,1.4196863169280718,1.0897761236113477,14.893290342392136,8.38,440,64,504,974,1321,137.0,175.0,0.7426470588235294
100415,Nykesha Sales,salesny01w,53.84615384615385,87.5,36.0,57.14285714285714,13,45,8,25,7,30.26584016308192,6.654993514915692,5.369480818582616,13.28,278,31,309,641,821,71.0,97.0,0.775599128540305
100416,Sheri Sam,samsh01w,22.22222222222222,86.36363636363636,22.22222222222222,36.36363636363637,9,38,22,18,11,-1.3580914608497068,-7.122784262862087,-15.409739960638156,-8.16,328,26,354,561,804,29.0,42.0,0.6973995271867612
100419,Yolanda Griffith,griffyo01w,0.0,82.35294117647058,36.36363636363637,45.45454545454545,1,23,17,11,11,-23.580313683071928,7.018629878552058,-6.318830869729069,-0.69,311,42,353,1232,1728,184.0,234.0,0.7217125382262997
100433,Chasity Melvin,melvich01w,0.0,50.0,14.285714285714285,51.72413793103448,1,37,8,7,29,-23.580313683071928,-15.059292199370024,-0.0492383932400386,-3.52,393,21,414,944,1392,69.0,95.0,0.6812373907195696
100484,Betty Lennox,lennobe01w,25.0,100.0,52.38095238095239,0.0,20,42,8,21,1,1.4196863169280718,23.03594589586808,-51.77337632427452,10.96,320,25,345,664,792,59.0,67.0,0.8416763678696159
100493,Anna DeForge,deforan01w,25.0,71.42857142857143,21.428571428571427,66.66666666666666,12,29,7,14,3,1.4196863169280718,-7.916435056512881,14.893290342392136,-1.69,237,8,245,377,459,20.0,20.0,0.8288100208768268
100533,DeMya Walker,walkede01w,0.0,90.0,25.0,44.44444444444444,0,26,10,8,18,-23.580313683071928,-4.345006485084308,-7.32893187983008,-6.41,335,32,367,518,816,49.0,79.0,0.6335195530726258
100627,Kelly Miller,milleke01w,50.0,100.0,0.0,100.0,12,21,3,7,2,26.419686316928072,-29.34500648508431,48.22662367572548,9.91,364,23,387,416,508,37.0,48.0,0.814748201438849
100628,Tammy Sutton-Brown,suttota01w,0.0,62.5,14.285714285714285,39.130434782608695,0,30,8,7,23,-23.580313683071928,-15.059292199370024,-12.642941541665827,-13.21,388,47,435,1018,1454,110.0,158.0,0.6997518610421837
100634,Penny Taylor,taylope01w,22.22222222222222,86.95652173913044,8.333333333333332,57.14285714285714,18,37,23,12,7,-1.3580914608497068,-21.011673151750976,5.369480818582616,-6.46,355,50,405,1082,1246,196.0,221.0,0.8711656441717791
100639,Deanna Nolan,nolande01w,23.33333333333333,95.23809523809524,36.734693877551024,57.14285714285714,30,86,21,49,7,-0.246980349738596,7.3896873924667155,5.369480818582616,4.56,293,48,341,679,837,139.0,154.0,0.8254288597376388
100646,Tamika Catchings,catchta01w,30.0,86.95652173913044,36.17021276595745,54.761904761904766,30,119,46,47,42,6.419686316928072,6.825206280873143,2.988528437630244,5.37,457,68,525,2004,2386,356.0,417.0,0.8419550481626829
100656,Ruth Riley,rileyru01w,0.0,90.0,20.0,28.57142857142857,2,29,20,20,7,-23.580313683071928,-9.345006485084308,-23.20194775284596,-13.67,387,52,439,443,563,58.0,83.0,0.7755417956656346
100666,Katie Douglas,douglka01w,20.6896551724138,73.91304347826086,16.129032258064516,56.25,29,76,23,31,16,-2.8906585106581346,-13.215974227019792,4.476623675725477,-5.55,412,56,468,984,1223,147.0,183.0,0.8044096728307255
100682,Lauren Jackson,jacksla01w,20.0,89.47368421052632,18.181818181818183,46.66666666666666,10,47,19,22,15,-3.580313683071928,-11.163188303266123,-5.106709657607858,-7.62,317,31,348,1391,1653,143.0,170.0,0.8414701042238069
100685,Marie Ferdinand-Harris,ferdima01w,14.285714285714285,81.25,22.22222222222222,44.44444444444444,7,34,16,18,9,-9.294599397357644,-7.122784262862087,-7.32893187983008,-7.62,305,26,331,775,975,71.0,88.0,0.7958607714016933
100720,Sue Bird,birdsu01w,25.58139534883721,50.0,17.391304347826086,66.66666666666666,43,98,14,46,9,2.001081665765284,-11.953702137258222,14.893290342392136,-3.37,580,60,640,844,989,93.0,110.0,0.8525932666060054
100721,Swin Cash,cashsw01w,25.0,76.19047619047619,9.523809523809524,75.0,4,41,21,21,16,1.4196863169280718,-19.821196961274783,23.22662367572548,-0.95,479,56,535,1397,1845,144.0,190.0,0.7572481572481572
100723,Asjha Jones,jonesas01w,0.0,85.71428571428571,33.33333333333333,45.45454545454545,2,52,7,39,11,-23.580313683071928,3.98832684824902,-6.318830869729069,0.75,368,43,411,586,775,49.0,78.0,0.7444314185228605
100729,Michelle Snow,snowmi01w,0.0,83.33333333333334,29.411764705882355,52.17391304347826,0,40,18,17,23,-23.580313683071928,0.0667582207980466,0.4005367192037354,0.26,402,20,422,720,1023,48.0,64.0,0.7065317387304508
100812,Erika de Souza,desouer01w,0.0,57.14285714285714,14.285714285714285,43.75,0,23,7,7,16,-23.580313683071928,-15.059292199370024,-8.023376324274523,-10.16,329,38,367,374,587,44.0,65.0,0.6411042944785276
100843,Cheryl Ford,fordch01w,0.0,68.75,25.0,43.75,0,24,16,8,16,-23.580313683071928,-4.345006485084308,-8.023376324274523,-6.8,196,38,234,556,935,106.0,155.0,0.6073394495412844
100874,Kara Lawson,lawsoka01w,31.03448275862069,92.3076923076923,21.73913043478261,50.0,29,62,13,23,10,7.454169075548762,-7.605876050301699,-1.7733763242745226,0.38,377,47,424,573,644,78.0,87.0,0.8905608755129959
100888,Plenette Pierson,pierspl01w,0.0,83.33333333333334,31.25,36.36363636363637,1,28,12,16,11,-23.580313683071928,1.904993514915692,-15.409739960638156,-5.81,444,49,493,964,1295,88.0,126.0,0.7403237156931738
100915,Lindsay Whalen,whaleli01w,9.090909090909092,82.6086956521739,38.70967741935484,47.22222222222222,11,78,46,31,36,-14.489404592162836,9.364670934270531,-4.551154102052301,-0.42,480,82,562,1407,1733,250.0,318.0,0.8078985860555826
100919,Nicole Powell,powelni01w,27.27272727272727,100.0,50.0,100.0,22,37,3,12,3,3.6924135896553416,20.65499351491569,48.22662367572548,12.8,360,33,393,440,499,54.0,58.0,0.8868940754039497
100937,Shameka Christon,chrissh01w,40.0,75.0,23.07692307692308,66.66666666666666,10,26,12,13,3,16.419686316928072,-6.268083408161232,14.893290342392136,4.9,317,21,338,645,785,28.0,37.0,0.818734793187348
100940,Diana Taurasi,tauradi01w,18.0327868852459,85.71428571428571,24.0,33.33333333333333,61,120,49,50,9,-5.547526797826027,-5.345006485084308,-18.4400429909412,-6.43,526,71,597,2400,2756,289.0,328.0,0.8719195849546044
100949,Alana Beard,beardal01w,20.0,69.23076923076923,30.303030303030305,66.66666666666666,10,52,13,33,9,-3.580313683071928,0.958023817945996,14.893290342392136,2.5,420,42,462,844,1102,55.0,72.0,0.7657580919931857
100952,Jia Perkins,perkiji01w,27.58620689655172,75.0,44.0,70.0,29,64,16,25,10,4.005893213479794,14.654993514915692,18.22662367572548,10.39,417,23,440,699,838,16.0,20.0,0.8333333333333334
101019,Janel McCarville,mccarja01w,0.0,80.0,16.666666666666664,56.52173913043478,4,33,10,6,23,-23.580313683071928,-12.678339818417644,4.748362806160259,-1.85,286,27,313,421,544,32.0,52.0,0.7600671140939598
101020,Tan White,whiteta01w,25.0,100.0,33.33333333333333,16.666666666666664,8,26,10,12,6,1.4196863169280718,3.98832684824902,-35.10670965760786,-5.82,320,26,346,396,490,13.0,16.0,0.808300395256917
101023,Sancho Lyttle,lyttlsa01w,33.33333333333333,58.333333333333336,41.17647058823529,0.0,6,26,12,17,3,9.7530196502614,11.831464103150982,-51.77337632427452,4.01,392,31,423,535,760,51.0,67.0,0.7085852478839177
101024,Temeka Johnson,johnste01w,0.0,83.33333333333334,18.181818181818183,33.33333333333333,3,23,6,11,9,-23.580313683071928,-11.163188303266123,-18.4400429909412,-15.63,327,36,363,449,544,31.0,42.0,0.8191126279863481
101030,Tanisha Wright,wrighta01w,50.0,100.0,23.33333333333333,37.5,6,44,9,30,8,26.419686316928072,-6.011673151750976,-14.273376324274524,-3.09,457,36,493,764,917,66.0,85.0,0.8283433133732535
1627668,Breanna Stewart,stewabr01w,20.0,95.0,18.75,57.14285714285714,5,35,20,16,14,-3.580313683071928,-10.595006485084308,5.369480818582616,-3.21,213,22,235,1018,1220,113.0,132.0,0.8365384615384616
1627675,Courtney Williams,willico01w,33.33333333333333,71.42857142857143,23.809523809523807,60.0,6,32,7,21,5,9.7530196502614,-5.535482675560502,8.226623675725477,-0.52,239,22,261,212,291,18.0,25.0,0.7278481012658228
1628932,A'ja Wilson,wilsoa01w,0.0,100.0,30.0,35.294117647058826,0,27,12,10,17,-23.580313683071928,0.6549935149156916,-16.479258677215697,-10.13,179,28,207,914,1137,131.0,162.0,0.8044649730561971
1629477,Sabrina Ionescu,ionessa01w,11.11111111111111,100.0,0.0,57.14285714285714,9,20,7,4,7,-12.469202571960816,-29.34500648508431,5.369480818582616,-9.6,97,4,101,274,300,6.0,7.0,0.9120521172638436
1629481,Arike Ogunbowale,ogunbar01w,36.36363636363637,71.42857142857143,25.0,42.85714285714285,11,30,7,12,7,12.78332268056444,-4.345006485084308,-8.916233467131669,0.87,147,2,149,574,684,1.0,2.0,0.8381924198250729
200665,Cappie Pondexter,pondeca01w,22.22222222222222,89.28571428571429,38.46153846153847,53.333333333333336,27,122,28,65,30,-1.3580914608497068,9.11653197645416,1.559957009058813,4.94,416,38,454,1455,1729,158.0,174.0,0.8476090383604834
200671,Seimone Augustus,augusse01w,26.31578947368421,90.9090909090909,38.46153846153847,66.66666666666666,19,93,11,65,9,2.7354757906122806,9.11653197645416,14.893290342392136,8.37,391,58,449,802,935,139.0,174.0,0.848512173128945
200673,Monique Currie,currimo01w,50.0,75.0,22.22222222222222,20.0,10,33,16,18,5,26.419686316928072,-7.122784262862087,-31.773376324274523,-0.69,411,23,434,1273,1546,46.0,64.0,0.8192546583850931
200674,Sophia Young-Malcolm,youngso01w,100.0,68.42105263157895,19.047619047619047,66.66666666666666,1,28,19,21,6,76.41968631692808,-10.29738743746526,14.893290342392136,-1.8,301,26,327,955,1331,113.0,154.0,0.7191919191919192
200676,Candice Dupree,dupreca01w,33.33333333333333,84.61538461538461,35.18518518518518,66.66666666666666,3,72,13,54,15,9.7530196502614,5.840178700100875,14.893290342392136,7.89,494,31,525,1181,1439,48.0,54.0,0.8231748158070998
201046,Lindsey Harding,hardili01w,0.0,61.11111111111112,25.0,40.0,3,33,18,20,10,-23.580313683071928,-4.345006485084308,-11.773376324274524,-8.34,270,25,295,573,759,55.0,75.0,0.7529976019184652
201056,Ivory Latta,lattaiv01w,18.75,100.0,17.647058823529413,50.0,16,39,12,17,6,-4.830313683071928,-11.697947661554895,-1.7733763242745226,-7.35,323,23,346,613,723,31.0,39.0,0.8451443569553806
201067,Camille Little,littlca01w,50.0,77.77777777777779,23.52941176470588,53.84615384615385,4,34,18,17,13,26.419686316928072,-5.815594720378428,2.072777521879324,0.99,431,37,468,770,1071,82.0,114.0,0.7189873417721518
201477,Tamera Young,youngta01w,33.33333333333333,50.0,33.33333333333333,54.54545454545454,3,23,6,9,11,9.7530196502614,3.98832684824902,2.772078221180017,4.16,372,24,396,519,757,18.0,33.0,0.6797468354430379
201480,Sylvia Fowles,fowlesy01w,0.0,68.18181818181817,62.5,60.71428571428571,0,36,22,8,28,-23.580313683071928,33.15499351491569,8.940909390011186,14.32,408,41,449,1352,1857,109.0,153.0,0.7268656716417911
201492,Matee Ajavon,ajavoma01w,40.0,69.23076923076923,23.07692307692308,33.33333333333333,5,24,13,13,6,16.419686316928072,-6.268083408161232,-18.4400429909412,-4.58,323,11,334,623,797,29.0,36.0,0.7827130852340937
201496,Candace Parker,parkeca01w,10.0,76.47058823529412,17.24137931034483,48.27586206896552,10,68,34,29,29,-13.580313683071928,-12.10362717473948,-3.4975142553090066,-8.65,410,66,476,1290,1682,234.0,301.0,0.7685325264750378
201502,Essence Carson,carsoes01w,57.14285714285714,20.0,30.76923076923077,50.0,7,24,5,13,4,33.56254345978521,1.4242242841464616,-1.7733763242745226,10.26,367,47,414,374,472,20.0,30.0,0.7848605577689243
201507,Leilani Mitchell,mitchle01w,33.33333333333333,0.0,0.0,0.0,12,22,1,8,2,9.7530196502614,-29.34500648508431,-51.77337632427452,-10.06,398,34,432,362,434,36.0,39.0,0.8414376321353065
201516,Allie Quigley,quiglal01w,13.636363636363637,75.0,52.94117647058824,50.0,22,43,8,17,4,-9.943950046708292,23.59616998550393,-1.7733763242745226,4.08,347,41,388,458,513,82.0,90.0,0.8955223880597015
201518,Crystal Langhorne,langhcr01w,0.0,100.0,33.33333333333333,75.0,1,21,8,12,8,-23.580313683071928,3.98832684824902,23.22662367572548,10.0,406,20,426,788,1122,18.0,27.0,0.70147954743255
201881,Angel McCoughtry,mccouan01w,14.285714285714285,81.81818181818183,25.0,61.53846153846154,28,93,33,52,13,-9.294599397357644,-4.345006485084308,9.765085214187016,-3.86,311,41,352,1512,1885,224.0,280.0,0.8018475750577367
201886,DeWanna Bonner,bonnede01w,27.27272727272727,76.66666666666667,26.08695652173913,45.0,22,65,30,23,20,3.6924135896553416,-3.2580499633451794,-6.773376324274523,-1.99,452,73,525,1705,1986,209.0,234.0,0.8621621621621621
201896,Briann January,januabr01w,23.52941176470588,70.58823529411765,11.538461538461538,36.36363636363637,17,54,17,26,11,-0.0509019183660477,-17.806544946622772,-15.409739960638156,-11.73,393,68,461,687,813,141.0,165.0,0.8466257668711656
201904,Renee Montgomery,montgre01w,40.0,77.77777777777779,0.0,85.71428571428571,15,40,9,18,7,16.419686316928072,-29.34500648508431,33.940909390011186,-1.11,364,37,401,672,800,40.0,47.0,0.8406139315230224
201911,Kristi Toliver,tolivkr01w,30.55555555555556,75.0,38.88888888888889,100.0,36,56,12,18,2,6.975241872483629,9.543882403804584,48.22662367572548,9.27,377,46,423,705,802,100.0,115.0,0.8778625954198473
201919,Shavonte Zellous,zellosh01w,30.0,55.55555555555556,40.0,33.33333333333333,10,26,9,10,6,6.419686316928072,10.654993514915692,-18.4400429909412,2.31,363,47,410,920,1148,103.0,128.0,0.8017241379310345
202250,Tina Charles,charlti01w,0.0,80.95238095238095,30.0,62.5,7,69,21,30,32,-23.580313683071928,0.6549935149156916,10.726623675725476,2.87,391,21,412,1219,1573,49.0,74.0,0.7698846387370978
202259,Epiphanny Prince,princep01w,26.666666666666668,77.77777777777779,36.36363636363637,33.33333333333333,15,46,18,22,9,3.08635298359474,7.018629878552058,-18.4400429909412,0.76,315,34,349,709,820,48.0,57.0,0.863169897377423
202632,Maya Moore,moorema01w,25.0,94.11764705882352,33.33333333333333,66.66666666666666,12,51,17,27,12,1.4196863169280718,3.98832684824902,14.893290342392136,5.95,271,56,327,890,1035,212.0,251.0,0.8569206842923794
202633,Liz Cambage,cambael01w,0.0,33.33333333333333,22.22222222222222,50.0,0,23,6,9,14,-23.580313683071928,-7.122784262862087,-1.7733763242745226,-3.87,167,11,178,669,883,40.0,47.0,0.7623655913978494
202658,Danielle Robinson,robinda01w,0.0,87.5,30.76923076923077,54.54545454545454,4,28,8,13,11,-23.580313683071928,1.4242242841464616,2.772078221180017,-1.62,350,21,371,646,748,29.0,36.0,0.860969387755102
202662,Jasmine Thomas,thomaja01w,28.57142857142857,50.0,41.66666666666667,40.0,21,43,2,12,10,4.991114888356641,12.321660181582365,-11.773376324274524,3.14,381,32,413,503,631,38.0,56.0,0.7874818049490538
202664,Courtney Vandersloot,vandeco01w,28.57142857142857,83.33333333333334,43.75,31.57894736842105,7,42,12,16,19,4.991114888356641,14.404993514915692,-20.19442895585347,-2.82,388,40,428,652,792,64.0,72.0,0.8287037037037037
203014,Nneka Ogwumike,ogwumnn01w,25.0,100.0,37.5,66.66666666666666,4,44,9,16,24,1.4196863169280718,8.154993514915692,14.893290342392136,11.22,349,35,384,1126,1341,106.0,139.0,0.8324324324324325
203017,Glory Johnson,johnsgl01w,0.0,85.71428571428571,28.57142857142857,38.46153846153847,1,21,14,7,13,-23.580313683071928,-0.773577913655739,-13.311837862736056,-9.62,222,2,224,624,857,3.0,4.0,0.7282229965156795
203026,Tiffany Hayes,hayesti01w,30.0,78.57142857142857,0.0,62.5,10,34,14,8,16,6.419686316928072,-29.34500648508431,10.726623675725476,0.03,307,20,327,1093,1373,63.0,77.0,0.7972413793103448
203029,Riquna Williams,williri01w,30.0,100.0,37.5,50.0,10,20,4,8,2,6.419686316928072,8.154993514915692,-1.7733763242745226,6.29,186,3,189,293,395,,,0.7417721518987341
203398,Brittney Griner,grinebr01w,0.0,66.66666666666666,26.31578947368421,71.42857142857143,0,33,3,19,14,-23.580313683071928,-3.0292170114001,19.655195104296908,6.59,278,45,323,1051,1307,156.0,193.0,0.8046666666666666
203399,Elena Delle Donne,delleel01w,38.46153846153847,87.5,30.76923076923077,60.0,13,44,8,26,5,14.88122477846654,1.4242242841464616,8.226623675725477,6.17,233,38,271,1091,1163,142.0,149.0,0.9397865853658536
203400,Skylar Diggins-Smith,diggisk01w,21.428571428571427,60.0,13.043478260869565,43.75,14,53,20,23,16,-2.151742254500501,-16.301528224214742,-8.023376324274523,-10.06,252,15,267,1143,1348,37.0,45.0,0.8470926058865758
203406,Layshia Clarendon,clarela01w,20.0,100.0,42.85714285714285,25.0,5,20,4,7,8,-3.580313683071928,13.512136372058546,-26.773376324274523,-6.88,255,22,277,392,491,8.0,14.0,0.7920792079207921
203411,Sugar Rodgers,rodgesu01w,11.11111111111111,80.0,0.0,42.85714285714285,9,20,5,4,7,-12.469202571960816,-29.34500648508431,-8.916233467131669,-14.6,247,26,273,248,304,17.0,21.0,0.8153846153846154
203416,Emma Meesseman,meessem01w,25.0,100.0,23.07692307692308,70.0,4,27,6,13,10,1.4196863169280718,-6.268083408161232,18.22662367572548,3.94,238,31,269,323,378,37.0,47.0,0.8470588235294118
203824,Odyssey Sims,simsod01w,0.0,85.71428571428571,47.61904761904761,37.5,8,37,7,21,8,-23.580313683071928,18.274041133963305,-14.273376324274524,2.19,259,29,288,661,805,63.0,70.0,0.8274285714285714
203825,Kayla McBride,mcbrika01w,30.0,100.0,18.75,42.85714285714285,10,33,12,16,7,6.419686316928072,-10.595006485084308,-8.916233467131669,-5.08,286,16,302,833,931,37.0,39.0,0.8969072164948454
203826,Alyssa Thomas,thomaal01w,0.0,63.1578947368421,12.5,56.25,2,26,19,8,16,-23.580313683071928,-16.84500648508431,4.476623675725477,-4.24,270,33,303,757,1175,84.0,119.0,0.6499227202472952
203828,Stefanie Dolson,dolsost01w,60.0,66.66666666666666,28.57142857142857,75.0,5,24,3,7,12,36.41968631692807,-0.773577913655739,23.22662367572548,18.98,284,21,305,366,422,10.0,11.0,0.8683602771362586
203829,Bria Hartley,hartlbr01w,50.0,0.0,0.0,71.42857142857143,4,20,1,9,7,26.419686316928072,-29.34500648508431,19.655195104296908,-1.04,207,14,221,291,378,8.0,9.0,0.772609819121447
203833,Chelsea Gray,graych01w,20.0,88.88888888888889,55.00000000000001,100.0,5,28,9,20,3,-3.580313683071928,25.6549935149157,48.22662367572548,22.85,288,39,327,534,614,61.0,73.0,0.86608442503639
204319,Jewell Loyd,loydje01w,40.0,50.0,40.0,50.0,10,43,16,15,18,16.419686316928072,10.654993514915692,-1.7733763242745226,6.79,280,25,305,983,1112,87.0,99.0,0.8835672997522709
204365,Erica Wheeler,wheeler01w,33.33333333333333,60.0,28.57142857142857,54.54545454545454,9,27,5,7,11,9.7530196502614,-0.773577913655739,2.772078221180017,4.18,249,4,253,343,420,2.0,2.0,0.8175355450236966
