pid,name,bbrid,make_percentage_far,make_percentage_free throw,make_percentage_medium,make_percentage_near,total_shots_far,total_shots,total_shots_free throw,total_shots_medium,total_shots_near,diff_far,diff_medium,diff_near,pct_adjusted,gp_reg,gp_playoffs,gp_all,ftm_reg,fta_reg,ftm_playoffs,fta_playoffs,ft_pct_all
100003,Lisa Leslie,leslili01w,16.666666666666664,78.26086956521739,28.125,46.42857142857143,6,66,46,32,28,-6.913647016405264,-1.2200064850843084,-5.344804895703092,-3.49,363,52,415,1477,2125,202.0,284.0,0.696969696969697
100008,Tamecka Dixon,dixonta01w,11.11111111111111,88.88888888888889,40.909090909090914,63.1578947368421,9,50,9,22,19,-12.469202571960816,11.564084424006603,11.38451841256758,7.17,360,46,406,676,836,66.0,75.0,0.814489571899012
100012,Mwadi Mabika,mabikmw01w,26.31578947368421,85.0,23.07692307692308,26.666666666666668,19,47,20,13,15,2.7354757906122806,-6.268083408161232,-25.10670965760785,-8.64,339,39,378,649,812,70.0,91.0,0.7962347729789591
100016,Ruthie Bolton,boltoru01w,0.0,55.55555555555556,37.5,25.0,16,28,9,8,4,-23.580313683071928,8.154993514915692,-26.773376324274523,-14.97,218,20,238,335,449,26.0,28.0,0.7568134171907757
100030,Jennifer Gillom,gilloje01w,57.14285714285714,76.92307692307693,25.0,66.66666666666666,7,41,13,28,6,33.56254345978521,-4.345006485084308,14.893290342392136,4.94,216,15,231,643,847,27.0,36.0,0.7587768969422424
100046,Wendy Palmer,palmewe01w,0.0,37.5,20.0,41.66666666666667,5,22,8,5,12,-23.580313683071928,-9.345006485084308,-10.106709657607851,-13.0,311,15,326,681,963,9.0,15.0,0.7055214723926381
100059,Andrea Stinson,stinsan01w,16.666666666666664,100.0,36.0,14.285714285714285,12,44,3,25,7,-6.913647016405264,6.654993514915692,-37.48766203856024,-4.07,272,19,291,524,712,48.0,58.0,0.7428571428571429
100072,Sheryl Swoopes,swoopsh01w,10.0,93.75,41.46341463414634,54.54545454545454,10,62,16,41,11,-13.580313683071928,12.11840814906203,2.772078221180017,6.32,324,35,359,949,1151,130.0,151.0,0.8287250384024577
100073,Cynthia Cooper,coopecy01w,30.0,92.3076923076923,23.07692307692308,71.42857142857143,10,37,13,13,14,6.419686316928072,-6.268083408161232,19.655195104296908,6.97,124,19,143,758,870,138.0,163.0,0.8673765730880929
100075,Janeth Arcain,arcaija01w,28.57142857142857,100.0,56.52173913043478,0.0,7,30,9,23,0,4.991114888356641,27.17673264535048,-51.77337632427452,22.0,254,32,286,580,669,51.0,60.0,0.8655692729766804
