win_probability,quarter,time_remaining,time_remaining_overall
50.0,Q1,12:00,48:00
50.6,Q1,12:00,48:00
49.4,Q1,11:42,47:42
47.7,Q1,11:34,47:33
50.9,Q1,11:18,47:17
49.2,Q1,10:57,46:57
48.2,Q1,10:36,46:36
47.8,Q1,10:34,46:33
48.8,Q1,10:23,46:22
47.8,Q1,10:20,46:20
47.8,Q1,10:20,46:20
46.0,Q1,10:07,46:07
45.7,Q1,10:07,46:07
45.3,Q1,10:07,46:07
45.0,Q1,10:07,46:07
47.7,Q1,9:57,45:57
48.9,Q1,9:40,45:39
49.4,Q1,9:37,45:37
50.5,Q1,9:31,45:30
51.7,Q1,9:31,45:30
50.8,Q1,9:31,45:30
50.5,Q1,9:29,45:29
51.7,Q1,9:17,45:16
52.3,Q1,9:16,45:15
51.0,Q1,9:09,45:08
50.4,Q1,9:07,45:07
49.6,Q1,8:57,44:57
50.4,Q1,8:49,44:48
51.9,Q1,8:32,44:31
52.5,Q1,8:29,44:29
51.1,Q1,8:21,44:21
52.6,Q1,8:19,44:18
53.0,Q1,8:19,44:18
53.4,Q1,8:19,44:18
53.7,Q1,8:19,44:18
51.2,Q1,8:09,44:08
49.5,Q1,7:52,43:52
48.7,Q1,7:52,43:52
50.5,Q1,7:33,43:32
51.3,Q1,7:30,43:30
48.6,Q1,7:23,43:22
47.6,Q1,7:19,43:18
46.0,Q1,7:05,43:05
47.5,Q1,7:02,43:01
50.5,Q1,7:00,43:00
52.3,Q1,6:41,42:41
53.1,Q1,6:41,42:41
50.7,Q1,6:31,42:30
49.2,Q1,6:19,42:18
47.5,Q1,6:01,42:00
46.8,Q1,5:58,41:58
49.2,Q1,5:54,41:53
47.5,Q1,5:39,41:38
46.8,Q1,5:35,41:35
48.4,Q1,5:28,41:28
49.1,Q1,5:25,41:24
47.5,Q1,5:13,41:13
46.8,Q1,5:10,41:09
48.3,Q1,5:00,41:00
49.0,Q1,4:56,40:56
48.9,Q1,4:50,40:50
47.5,Q1,4:38,40:37
46.8,Q1,4:36,40:36
45.7,Q1,4:28,40:28
45.2,Q1,4:28,40:28
44.8,Q1,4:28,40:28
43.2,Q1,4:05,40:05
42.5,Q1,4:00,40:00
44.0,Q1,3:47,39:46
44.7,Q1,3:45,39:45
43.2,Q1,3:35,39:35
42.5,Q1,3:30,39:30
44.0,Q1,3:26,39:26
44.7,Q1,3:23,39:22
43.2,Q1,3:13,39:13
42.5,Q1,3:10,39:09
44.0,Q1,2:57,38:57
44.7,Q1,2:54,38:53
46.8,Q1,2:51,38:51
45.7,Q1,2:37,38:37
45.2,Q1,2:37,38:37
44.7,Q1,2:37,38:37
42.5,Q1,2:23,38:22
41.4,Q1,2:19,38:18
43.0,Q1,2:19,38:18
42.5,Q1,2:19,38:18
40.3,Q1,2:07,38:07
41.8,Q1,1:52,37:52
42.4,Q1,1:49,37:49
40.9,Q1,1:44,37:44
40.2,Q1,1:39,37:38
38.2,Q1,1:30,37:30
36.8,Q1,1:09,37:08
38.1,Q1,1:06,37:06
40.1,Q1,1:05,37:05
41.5,Q1,0:55,36:54
42.1,Q1,0:52,36:52
44.3,Q1,0:47,36:46
46.0,Q1,0:47,36:46
44.6,Q1,0:47,36:46
44.3,Q1,0:45,36:45
46.0,Q1,0:36,36:36
46.7,Q1,0:33,36:32
47.6,Q1,0:28,36:28
48.2,Q1,0:28,36:28
48.6,Q1,0:28,36:28
47.3,Q1,0:09,36:08
46.0,Q1,0:01,36:00
46.5,Q1,0:01,36:00
46.2,Q1,0:00,36:00
46.2,Q2,12:00,36:00
40.0,Q2,11:47,35:46
38.7,Q2,11:30,35:30
38.1,Q2,11:25,35:24
35.7,Q2,11:19,35:18
38.1,Q2,11:04,35:03
39.5,Q2,10:50,34:50
40.2,Q2,10:47,34:46
42.5,Q2,10:44,34:44
37.9,Q2,10:23,34:22
35.8,Q2,10:07,34:07
37.2,Q2,9:52,33:52
37.8,Q2,9:49,33:48
37.8,Q2,9:44,33:44
35.8,Q2,9:36,33:36
37.9,Q2,9:28,33:28
40.3,Q2,9:24,33:23
38.9,Q2,9:08,33:07
38.3,Q2,9:08,33:07
37.8,Q2,9:08,33:07
36.4,Q2,8:53,32:52
37.8,Q2,8:49,32:48
40.2,Q2,8:48,32:47
42.3,Q2,8:36,32:36
40.8,Q2,8:32,32:31
42.3,Q2,8:32,32:31
44.5,Q2,8:30,32:30
45.9,Q2,8:05,32:05
46.5,Q2,8:02,32:01
48.8,Q2,7:50,31:49
50.7,Q2,7:50,31:49
51.2,Q2,7:50,31:49
52.8,Q2,7:34,31:33
53.5,Q2,7:30,31:30
51.9,Q2,7:20,31:19
53.6,Q2,7:20,31:19
53.6,Q2,7:19,31:18
51.9,Q2,7:11,31:11
51.2,Q2,7:08,31:07
52.9,Q2,6:58,30:58
53.7,Q2,6:55,30:55
51.9,Q2,6:43,30:43
53.8,Q2,6:40,30:40
51.0,Q2,6:39,30:38
49.0,Q2,6:30,30:30
47.0,Q2,6:13,30:13
46.1,Q2,6:10,30:10
41.8,Q2,6:01,30:00
43.7,Q2,5:42,29:41
45.7,Q2,5:20,29:19
46.5,Q2,5:16,29:15
48.4,Q2,5:08,29:07
50.6,Q2,4:54,28:53
51.6,Q2,4:51,28:51
48.4,Q2,4:40,28:40
46.5,Q2,4:29,28:29
44.5,Q2,4:13,28:13
43.6,Q2,4:10,28:10
43.7,Q2,4:04,28:03
45.6,Q2,3:58,27:58
43.7,Q2,3:55,27:55
45.6,Q2,3:49,27:48
46.4,Q2,3:45,27:45
47.4,Q2,3:36,27:36
48.0,Q2,3:36,27:36
46.5,Q2,3:36,27:36
46.1,Q2,3:35,27:34
48.0,Q2,3:22,27:22
48.9,Q2,3:18,27:18
47.0,Q2,3:14,27:14
46.1,Q2,3:11,27:11
45.1,Q2,3:04,27:03
44.5,Q2,3:04,27:03
44.1,Q2,3:04,27:03
42.3,Q2,2:47,26:46
44.0,Q2,2:42,26:41
45.1,Q2,2:31,26:30
45.7,Q2,2:31,26:30
46.2,Q2,2:31,26:30
44.1,Q2,2:20,26:19
46.2,Q2,2:04,26:03
41.7,Q2,1:43,25:43
43.8,Q2,1:28,25:28
45.7,Q2,1:28,25:28
46.2,Q2,1:28,25:28
41.4,Q2,1:13,25:13
42.4,Q2,0:56,24:56
43.0,Q2,0:56,24:56
43.6,Q2,0:56,24:56
40.8,Q2,0:48,24:48
38.6,Q2,0:31,24:30
37.8,Q2,0:27,24:26
37.8,Q2,0:14,24:14
41.9,Q2,0:01,24:00
41.1,Q2,0:01,24:00
41.7,Q2,0:00,24:00
41.7,Q3,12:00,24:00
39.7,Q3,11:48,23:48
41.0,Q3,11:44,23:44
38.1,Q3,11:29,23:29
40.7,Q3,11:25,23:24
38.1,Q3,11:23,23:22
37.0,Q3,11:21,23:21
39.4,Q3,10:57,22:56
37.1,Q3,10:57,22:56
40.4,Q3,10:57,22:56
42.5,Q3,10:47,22:46
44.8,Q3,10:29,22:29
42.5,Q3,10:25,22:24
42.5,Q3,10:25,22:24
42.5,Q3,10:25,22:24
37.2,Q3,10:19,22:18
34.8,Q3,10:01,22:00
36.9,Q3,9:58,21:58
34.8,Q3,9:56,21:56
33.8,Q3,9:54,21:53
32.4,Q3,9:49,21:48
31.7,Q3,9:49,21:48
31.1,Q3,9:49,21:48
28.8,Q3,9:38,21:37
27.8,Q3,9:35,21:35
29.8,Q3,9:25,21:24
27.6,Q3,9:22,21:22
26.3,Q3,9:22,21:22
25.6,Q3,9:22,21:22
25.0,Q3,9:22,21:22
30.2,Q3,9:09,21:08
32.3,Q3,8:51,20:51
33.3,Q3,8:49,20:48
35.9,Q3,8:35,20:35
39.0,Q3,8:24,20:23
35.8,Q3,8:16,20:15
33.1,Q3,8:05,20:05
30.7,Q3,7:50,19:49
29.7,Q3,7:47,19:46
24.3,Q3,7:39,19:38
29.6,Q3,7:26,19:26
29.5,Q3,7:11,19:11
24.0,Q3,7:07,19:07
22.0,Q3,6:55,18:55
23.9,Q3,6:52,18:52
21.9,Q3,6:50,18:49
23.8,Q3,6:46,18:45
25.2,Q3,6:43,18:43
25.9,Q3,6:43,18:43
26.4,Q3,6:43,18:43
28.6,Q3,6:32,18:31
29.5,Q3,6:28,18:28
32.4,Q3,6:14,18:14
29.3,Q3,6:06,18:06
26.9,Q3,6:06,18:06
26.2,Q3,6:06,18:06
32.1,Q3,5:45,17:45
34.2,Q3,5:30,17:30
35.1,Q3,5:28,17:28
31.9,Q3,5:19,17:18
30.3,Q3,5:17,17:16
32.6,Q3,5:17,17:16
32.0,Q3,5:17,17:16
38.1,Q3,5:00,17:00
40.2,Q3,4:37,16:37
37.9,Q3,4:35,16:34
40.2,Q3,4:32,16:31
41.2,Q3,4:30,16:30
38.8,Q3,4:20,16:19
37.8,Q3,4:18,16:18
40.1,Q3,4:11,16:11
41.1,Q3,4:09,16:08
44.5,Q3,4:00,16:00
37.6,Q3,3:45,15:45
34.9,Q3,3:23,15:22
37.5,Q3,3:22,15:22
39.2,Q3,3:22,15:22
40.1,Q3,3:22,15:22
40.8,Q3,3:22,15:22
43.2,Q3,3:08,15:07
44.3,Q3,3:05,15:05
40.8,Q3,3:04,15:03
43.5,Q3,3:04,15:03
40.8,Q3,3:04,15:03
38.9,Q3,3:01,15:00
41.5,Q3,3:01,15:00
40.7,Q3,3:01,15:00
38.1,Q3,2:45,14:45
37.0,Q3,2:41,14:41
33.7,Q3,2:36,14:35
30.8,Q3,2:30,14:30
29.6,Q3,2:27,14:26
28.1,Q3,2:23,14:22
30.8,Q3,2:23,14:22
30.0,Q3,2:23,14:22
25.7,Q3,2:09,14:09
22.8,Q3,2:05,14:05
25.4,Q3,1:49,13:48
29.2,Q3,1:36,13:35
32.6,Q3,1:33,13:33
34.9,Q3,1:15,13:15
36.0,Q3,1:12,13:11
33.2,Q3,1:01,13:00
32.1,Q3,0:58,12:58
35.4,Q3,0:46,12:46
37.8,Q3,0:34,12:33
34.8,Q3,0:34,12:33
35.7,Q3,0:34,12:33
37.8,Q3,0:19,12:18
35.5,Q3,0:19,12:18
38.4,Q3,0:12,12:11
35.2,Q3,0:08,12:07
38.8,Q3,0:08,12:07
40.4,Q3,0:08,12:07
37.4,Q3,0:02,12:01
36.8,Q3,0:02,12:01
37.8,Q3,0:00,12:00
37.8,Q4,12:00,12:00
35.4,Q4,11:47,11:46
34.0,Q4,11:45,11:45
29.5,Q4,11:37,11:37
27.0,Q4,11:17,11:16
25.9,Q4,11:13,11:13
28.4,Q4,11:02,11:01
29.5,Q4,10:59,10:58
32.2,Q4,10:50,10:50
33.2,Q4,10:50,10:50
30.4,Q4,10:50,10:50
29.9,Q4,10:49,10:48
32.6,Q4,10:39,10:39
33.7,Q4,10:36,10:35
29.8,Q4,10:33,10:33
32.3,Q4,10:18,10:18
29.6,Q4,10:17,10:16
29.6,Q4,10:17,10:16
25.1,Q4,10:10,10:09
29.3,Q4,9:50,09:50
26.6,Q4,9:32,09:31
25.6,Q4,9:32,09:31
24.7,Q4,9:32,09:31
28.8,Q4,9:14,09:13
31.4,Q4,8:53,08:52
32.6,Q4,8:51,08:50
29.6,Q4,8:46,08:46
28.3,Q4,8:43,08:43
32.2,Q4,8:33,08:33
37.3,Q4,8:29,08:28
31.7,Q4,8:06,08:05
36.7,Q4,7:48,07:47
31.0,Q4,7:33,07:32
36.1,Q4,7:17,07:16
32.9,Q4,7:06,07:05
31.6,Q4,7:06,07:05
30.5,Q4,7:06,07:05
26.8,Q4,6:48,06:47
25.2,Q4,6:44,06:44
28.5,Q4,6:39,06:39
29.9,Q4,6:36,06:35
29.6,Q4,6:22,06:21
40.5,Q4,6:15,06:15
45.1,Q4,5:55,05:55
47.3,Q4,5:53,05:52
52.7,Q4,5:44,05:44
58.1,Q4,5:20,05:19
60.5,Q4,5:19,05:18
66.3,Q4,5:14,05:14
66.6,Q4,4:59,04:59
73.1,Q4,4:59,04:59
69.0,Q4,4:47,04:46
73.7,Q4,4:43,04:43
69.1,Q4,4:43,04:43
67.1,Q4,4:43,04:43
74.1,Q4,4:35,04:34
69.5,Q4,4:31,04:30
74.4,Q4,4:28,04:28
80.1,Q4,4:17,04:16
78.1,Q4,4:02,04:01
76.8,Q4,4:02,04:01
75.6,Q4,4:02,04:01
71.2,Q4,3:53,03:53
76.2,Q4,3:49,03:48
69.6,Q4,3:42,03:42
74.9,Q4,3:33,03:32
77.2,Q4,3:29,03:29
70.3,Q4,3:29,03:29
73.2,Q4,3:15,03:15
78.3,Q4,3:12,03:12
81.5,Q4,3:11,03:10
83.0,Q4,3:11,03:10
84.2,Q4,3:11,03:10
79.5,Q4,2:57,02:57
76.2,Q4,2:36,02:36
81.8,Q4,2:34,02:33
87.5,Q4,2:34,02:33
93.5,Q4,2:18,02:17
94.7,Q4,2:17,02:16
92.4,Q4,2:17,02:16
93.2,Q4,2:17,02:16
85.1,Q4,2:06,02:06
79.9,Q4,1:44,01:44
70.5,Q4,1:40,01:39
61.2,Q4,1:29,01:29
57.0,Q4,1:25,01:25
67.6,Q4,1:19,01:19
72.4,Q4,1:15,01:15
62.9,Q4,1:03,01:03
73.9,Q4,1:01,01:00
63.1,Q4,1:00,01:00
74.5,Q4,0:56,00:56
80.1,Q4,0:56,00:56
83.1,Q4,0:56,00:56
85.4,Q4,0:56,00:56
92.5,Q4,0:42,00:42
88.3,Q4,0:40,00:40
93.0,Q4,0:39,00:39
88.9,Q4,0:37,00:37
77.9,Q4,0:36,00:36
63.9,Q4,0:12,00:12
2.5,Q4,0:00,00:00
0.0,Q4,0:00,00:00
