abbrev,wins,losses,ratio,team
WAS,26,48,0.6486486486486487,Washington Wizards
TOR,44,34,0.4358974358974359,Toronto Raptors
NOP,32,23,0.4181818181818181,New Orleans Pelicans
CHA,28,28,0.5,Charlotte Hornets
IND,33,38,0.5352112676056338,Indiana Pacers
HOU,27,39,0.5909090909090909,Houston Rockets
POR,53,37,0.4111111111111111,Portland Trail Blazers
ATL,35,41,0.5394736842105263,Atlanta Hawks
PHI,34,52,0.6046511627906976,Philadelphia 76ers
ORL,30,29,0.4915254237288136,Orlando Magic
DET,34,29,0.4603174603174603,Detroit Pistons
LAL,39,32,0.4507042253521127,Los Angeles Lakers
LAC,24,29,0.5471698113207547,Los Angeles Clippers
SAC,42,32,0.4324324324324324,Sacramento Kings
MIL,33,39,0.5416666666666666,Milwaukee Bucks
DAL,37,39,0.5131578947368421,Dallas Mavericks
MIA,45,30,0.4,Miami Heat
GSW,28,39,0.582089552238806,Golden State Warriors
MIN,21,31,0.5961538461538461,Minnesota Timberwolves
MEM,29,33,0.532258064516129,Memphis Grizzlies
CLE,35,26,0.4262295081967213,Cleveland Cavaliers
SAS,44,43,0.4942528735632184,San Antonio Spurs
NYK,29,46,0.6133333333333333,New York Knicks
PHX,28,29,0.5087719298245614,Phoenix Suns
CHI,31,30,0.4918032786885246,Chicago Bulls
BOS,48,42,0.4666666666666667,Boston Celtics
BKN,38,36,0.4864864864864865,Brooklyn Nets
DEN,50,28,0.358974358974359,Denver Nuggets
OKC,51,36,0.4137931034482758,Oklahoma City Thunder
UTA,26,36,0.5806451612903226,Utah Jazz
